ÈÕÆÚ,Ê±¼ä,ºÏÔ¼´úÂë,Âò/Âô,¿ª/Æ½,³É½»Á¿,³É½»¼Û,ÊÖÐø·Ñ
2024-06-03,14:50:00,510880.SS,Âò,-,5600.000,3.244,14.533
2024-06-03,14:50:00,511880.SS,Âò,-,200.000,100.829,16.133
2024-06-03,14:50:00,512400.SS,Âò,-,8000.000,1.042,6.669
2024-06-03,14:50:00,512800.SS,Âò,-,13400.000,1.240,13.293
2024-06-03,14:50:00,515220.SS,Âò,-,8800.000,1.315,9.258
2024-06-03,14:50:00,518880.SS,Âò,-,3400.000,5.290,14.389
2024-06-07,14:50:00,515220.SS,Âô,-,8800.000,1.307,9.201
2024-06-07,14:50:00,511880.SS,Âô,-,100.000,100.865,8.069
2024-06-07,14:50:00,510300.SS,Âò,-,6100.000,3.577,17.456
2024-06-07,14:50:00,510880.SS,Âò,-,1100.000,3.261,5.000
2024-06-11,14:50:00,512400.SS,Âô,-,8000.000,1.020,6.528
2024-06-11,14:50:00,512800.SS,Âô,-,1100.000,1.219,5.000
2024-06-11,14:50:00,515220.SS,Âò,-,8200.000,1.289,8.456
2024-06-12,14:50:00,510300.SS,Âô,-,6100.000,3.550,17.324
2024-06-12,14:50:00,510880.SS,Âô,-,1000.000,3.250,5.000
2024-06-12,14:50:00,511880.SS,Âò,-,100.000,100.864,8.069
2024-06-12,14:50:00,512400.SS,Âò,-,8200.000,1.031,6.763
2024-06-12,14:50:00,512800.SS,Âò,-,1200.000,1.215,5.000
2024-06-18,14:50:00,512400.SS,Âô,-,8200.000,1.007,6.606
2024-06-18,14:50:00,511880.SS,Âô,-,100.000,100.887,8.071
2024-06-18,14:50:00,510300.SS,Âò,-,6100.000,3.552,17.334
2024-06-18,14:50:00,510880.SS,Âò,-,1100.000,3.184,5.000
2024-06-19,14:50:00,512800.SS,Âô,-,1300.000,1.225,5.000
2024-06-21,14:50:00,510300.SS,Âô,-,6100.000,3.523,17.192
2024-06-21,14:50:00,510880.SS,Âô,-,1100.000,3.196,5.000
2024-06-21,14:50:00,511880.SS,Âò,-,100.000,100.904,8.072
2024-06-21,14:50:00,512400.SS,Âò,-,9100.000,1.003,7.302
2024-06-21,14:50:00,512800.SS,Âò,-,1100.000,1.219,5.000
2024-06-25,14:50:00,512400.SS,Âô,-,9100.000,0.981,7.142
2024-06-25,14:50:00,512800.SS,Âò,-,1300.000,1.225,5.000
2024-06-25,14:50:00,515220.SS,Âò,-,6300.000,1.238,6.240
2024-06-27,14:50:00,512800.SS,Âô,-,1100.000,1.241,5.000
